item,title
1,Toy Story
2,Jumanji
3,Grumpier Old Men
4,Waiting to Exhale
5,Father of the Bride Part II
6,Heat
7,Sabrina
8,Tom and Huck
9,Sudden Death
10,GoldenEye
11,The American President
12,Dracula: Dead and Loving It
13,Balto
14,Nixon
15,Cutthroat Island
16,Casino
17,Sense and Sensibility
18,Four Rooms
19,Ace Ventura: When Nature Calls
20,Money Train
21,Get Shorty
22,Copycat
23,Assassins
24,Powder
25,Leaving Las Vegas
26,Othello
27,Now and Then
28,Persuasion
29,The City of Lost Children
30,Shanghai Triad (Yao a yao yao dao waipo qiao)
31,Dangerous Minds
32,Twelve Monkeys
33,Wings of Courage
34,Babe
35,Carrington
36,Dead Man Walking
37,Across the Sea of Time
38,It Takes Two
39,Clueless
40,"Cry, the Beloved Country"
41,Richard III
42,Dead Presidents
43,Restoration
44,Mortal Kombat
45,To Die For
46,How to Make an American Quilt
47,Seven (Se7en)
48,Pocahontas
49,When Night Is Falling
50,The Usual Suspects
52,Mighty Aphrodite
53,Lamerica
54,The Big Green
55,Georgia
56,Kids of the Round Table
57,Home for the Holidays
58,"Postino, Il (The Postman)"
59,"Confessional, The (Le Confessionnal)"
60,The Indian in the Cupboard
61,Eye for an Eye
62,Mr. Holland's Opus
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
64,Two if by Sea
65,Bio-Dome
66,Lawnmower Man 2: Beyond Cyberspace
67,Two Bits
68,French Twist (Gazon maudit)
69,Friday
70,From Dusk Till Dawn
71,Fair Game
72,Kicking and Screaming
73,"Misérables, Les"
74,Bed of Roses
75,Big Bully
76,Screamers
77,Nico Icon
78,The Crossing Guard
79,The Juror
80,"White Balloon, The (Badkonake Sefid )"
81,Things to Do in Denver when You're Dead
82,Antonia's Line (Antonia)
83,Once Upon a Time... When We Were Colored
84,Last Summer in the Hamptons
85,Angels and Insects
86,White Squall
87,Dunston Checks In
88,Black Sheep
89,Nick of Time
90,The Journey of August King
92,Mary Reilly
93,Vampire in Brooklyn
94,Beautiful Girls
95,Broken Arrow
96,In the Bleak Midwinter
97,"Hate (Haine, La)"
98,Shopping
99,Heidi Fleiss: Hollywood Madam
100,City Hall
101,Bottle Rocket
102,Mr. Wrong
103,Unforgettable
104,Happy Gilmore
105,The Bridges of Madison County
106,Nobody Loves Me (Keiner liebt mich)
107,Muppet Treasure Island
108,Catwalk
110,Braveheart
111,Taxi Driver
112,Rumble in the Bronx
113,Before and After
114,Margaret's Museum
116,Anne Frank Remembered
117,The Young Poisoner's Handbook
118,If Lucy Fell
119,"Steal Big, Steal Little"
120,Race the Sun
121,The Boys of St. Vincent
122,Boomerang
123,Chungking Express
124,"Star Maker, The (Uomo delle stelle, L')"
125,Flirting With Disaster
126,The NeverEnding Story III
127,"Silence of the Palace, The (Saimt el Qusur)"
128,Jupiter's Wife
129,Pie in the Sky
130,Angela
131,Frankie Starlight
132,Jade
133,Nueba Yol
134,Sonic Outlaws
135,Down Periscope
136,From the Journals of Jean Seberg
137,Man of the Year
138,The Neon Bible
139,Target
140,Up Close and Personal
141,The Birdcage
142,Shadows (Cienie)
144,The Brothers McMullen
145,Bad Boys
146,The Amazing Panda Adventure
147,The Basketball Diaries
148,"Awfully Big Adventure, An"
149,Amateur
150,Apollo 13
151,Rob Roy
152,The Addiction
153,Batman Forever
154,Belle de jour
155,Beyond Rangoon
156,Blue in the Face
157,Canadian Bacon
158,Casper
159,Clockers
160,Congo
161,Crimson Tide
162,Crumb
163,Desperado
164,Devil in a Blue Dress
165,Die Hard: With a Vengeance
166,The Doom Generation
167,Feast of July
168,First Knight
169,Free Willy 2: The Adventure Home
170,Hackers
171,Jeffrey
172,Johnny Mnemonic
173,Judge Dredd
174,Jury Duty
175,Kids
176,Living in Oblivion
177,Lord of Illusions
178,Love & Human Remains
179,Mad Love
180,Mallrats
181,Mighty Morphin Power Rangers: The Movie
182,Moonlight and Valentino
183,Mute Witness
184,Nadja
185,The Net
186,Nine Months
187,Party Girl
188,The Prophecy
189,Reckless
190,Safe
191,The Scarlet Letter
192,The Show
193,Showgirls
194,Smoke
195,Something to Talk About
196,Species
197,The Stars Fell on Henrietta
198,Strange Days
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)"
200,The Tie That Binds
201,Three Wishes
202,Total Eclipse
203,"To Wong Foo, Thanks for Everything! Julie Newmar"
204,Under Siege 2: Dark Territory
205,Unstrung Heroes
206,Unzipped
207,"Walk in the Clouds, A"
208,Waterworld
209,White Man's Burden
210,Wild Bill
211,The Browning Version
212,Bushwhacked
213,Burnt By the Sun (Utomlyonnye solntsem)
214,Before the Rain (Pred dozhdot)
215,Before Sunrise
216,Billy Madison
217,The Babysitter
218,Boys on the Side
219,The Cure
220,Castle Freak
222,Circle of Friends
223,Clerks
224,Don Juan DeMarco
225,Disclosure
226,Dream Man
227,Drop Zone
228,Destiny Turns on the Radio
229,Death and the Maiden
230,Dolores Claiborne
231,Dumb & Dumber
232,Eat Drink Man Woman
233,Exotica
234,Exit to Eden
235,Ed Wood
236,French Kiss
237,Forget Paris
238,Far From Home: The Adventures of Yellow Dog
239,"Goofy Movie, A"
240,Hideaway
241,Fluke
242,Farinelli: il castrato
243,Gordy
244,Gumby: The Movie
245,The Glass Shield
246,Hoop Dreams
247,Heavenly Creatures
248,Houseguest
249,Immortal Beloved
250,Heavyweights
251,The Hunted
252,I.Q.
253,Interview with the Vampire
254,Jefferson in Paris
255,The Jerky Boys
256,Junior
257,Just Cause
258,"Kid in King Arthur's Court, A"
259,Kiss of Death
260,Star Wars: Episode IV - A New Hope
261,Little Women
262,"Little Princess, A"
263,Ladybird Ladybird
264,"Enfer, L'"
265,Like Water for Chocolate (Como agua para chocolate)
266,Legends of the Fall
267,Major Payne
268,Little Odessa
269,My Crazy Life (Mi vida loca)
270,Love Affair
271,Losing Isaiah
272,The Madness of King George
273,Mary Shelley's Frankenstein
274,Man of the House
275,Mixed Nuts
276,Milk Money
277,Miracle on 34th Street
278,Miami Rhapsody
279,My Family
280,Murder in the First
281,Nobody's Fool
282,Nell
283,New Jersey Drive
286,Nemesis 2: Nebula
287,Nina Takes a Lover
288,Natural Born Killers
289,Only You
290,Once Were Warriors
291,Poison Ivy II
292,Outbreak
293,"Professional, The (a.k.a. Leon: The Professional)"
294,The Perez Family
295,"Pyromaniac's Love Story, A"
296,Pulp Fiction
297,Panther
298,Pushing Hands
299,Priest
300,Quiz Show
301,Picture Bride
302,Queen Margot (La Reine Margot)
303,The Quick and the Dead
304,Roommates
305,Ready to Wear (Pret-A-Porter)
306,Three Colors: Red
307,Three Colors: Blue
308,Three Colors: White
309,"Red Firecracker, Green Firecracker"
310,Rent-a-Kid
311,Relative Fear
312,Stuart Saves His Family
313,The Swan Princess
314,The Secret of Roan Inish
315,The Specialist
316,Stargate
317,The Santa Clause
318,The Shawshank Redemption
319,Shallow Grave
320,Suture
321,Strawberry and Chocolate (Fresa y chocolate)
322,Swimming with Sharks
324,The Sum of Us
325,National Lampoon's Senior Trip
326,To Live (Huozhe)
327,Tank Girl
328,Tales From the Crypt Presents: Demon Knight
329,Star Trek: Generations
330,Tales from the Hood
331,Tom & Viv
332,Village of the Damned
333,Tommy Boy
334,Vanya on 42nd Street
335,The Underneath
336,The Walking Dead
337,What's Eating Gilbert Grape
338,Virtuosity
339,While You Were Sleeping
340,The War
341,Double Happiness
342,Muriel's Wedding
343,The Baby-Sitters Club
344,Ace Ventura: Pet Detective
345,"The Adventures of Priscilla, Queen of the Desert"
346,Backbeat
347,Bitter Moon
348,Bullets Over Broadway
349,Clear and Present Danger
350,The Client
351,"Corrina, Corrina"
352,Crooklyn
353,The Crow
354,Cobb
355,The Flintstones
356,Forrest Gump
357,Four Weddings and a Funeral
358,Higher Learning
359,I Like It Like That
360,I Love Trouble
361,It Could Happen to You
362,The Jungle Book
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder)"
364,The Lion King
365,Little Buddha
366,Wes Craven's New Nightmare
367,The Mask
368,Maverick
369,Mrs. Parker and the Vicious Circle
370,Naked Gun 33 1/3: The Final Insult
371,The Paper
372,Reality Bites
373,Red Rock West
374,Richie Rich
375,Safe Passage
376,The River Wild
377,Speed
378,Speechless
379,Timecop
380,True Lies
381,When a Man Loves a Woman
382,Wolf
383,Wyatt Earp
384,Bad Company
385,"Man of No Importance, A"
386,S.F.W.
387,"Low Down Dirty Shame, A"
388,Boys Life
389,"Colonel Chabert, Le"
390,Faster Pussycat! Kill! Kill!
391,Jason's Lyric
392,The Secret Adventures of Tom Thumb
393,Street Fighter
394,Coldblooded
396,Fall Time
397,The Fear
398,Frank and Ollie
401,Mirage
402,Open Season
404,Brother Minister: The Assassination of Malcolm X
405,Highlander III: The Sorcerer
406,Federal Hill
407,In the Mouth of Madness
408,8 Seconds
409,Above the Rim
410,Addams Family Values
411,You So Crazy
412,The Age of Innocence
413,Airheads
414,The Air Up There
415,Another Stakeout
416,Bad Girls
417,Barcelona
418,Being Human
419,The Beverly Hillbillies
420,Beverly Hills Cop III
421,Black Beauty
422,Blink
423,Blown Away
424,Blue Chips
425,Blue Sky
426,Body Snatchers
427,Boxing Helena
428,"Bronx Tale, A"
429,Cabin Boy
430,Calendar Girl
431,Carlito's Way
432,City Slickers II: The Legend of Curly's Gold
433,Clean Slate
434,Cliffhanger
435,Coneheads
436,Color of Night
437,Cops and Robbersons
438,The Cowboy Way
439,Dangerous Game
440,Dave
441,Dazed and Confused
442,Demolition Man
443,The Endless Summer 2
444,Even Cowgirls Get the Blues
445,Fatal Instinct
446,Farewell My Concubine
447,The Favor
448,Fearless
449,Fear of a Black Hat
450,With Honors
451,Flesh and Bone
452,Widows' Peak
453,For Love or Money
454,The Firm
455,Free Willy
456,Fresh
457,The Fugitive
458,Geronimo: An American Legend
459,The Getaway
460,Getting Even with Dad
461,Go Fish
462,"Good Man in Africa, A"
463,Guilty as Sin
464,Hard Target
465,Heaven & Earth
466,Hot Shots! Part Deux
467,Live Nude Girls
468,"The Englishman Who Went Up a Hill, But Came Down a Mountain"
469,The House of the Spirits
470,House Party 3
471,The Hudsucker Proxy
472,I'll Do Anything
473,In the Army Now
474,In the Line of Fire
475,In the Name of the Father
476,The Inkwell
477,What's Love Got to Do with It?
478,Jimmy Hollywood
479,Judgment Night
480,Jurassic Park
481,Kalifornia
482,Killing Zoe
483,King of the Hill
484,Lassie
485,Last Action Hero
486,Life with Mikey
487,Lightning Jack
488,M. Butterfly
489,Made in America
490,Malice
491,The Man Without a Face
492,Manhattan Murder Mystery
493,Menace II Society
494,Executive Decision
495,In the Realm of the Senses (Ai no corrida)
496,What Happened Was...
497,Much Ado About Nothing
498,Mr. Jones
499,Mr. Wonderful
500,Mrs. Doubtfire
501,Naked
502,The Next Karate Kid
503,The New Age
504,No Escape
505,North
506,Orlando
507,"Perfect World, A"
508,Philadelphia
509,The Piano
510,Poetic Justice
511,The Program
512,Robert A. Heinlein's The Puppet Masters
513,Radioland Murders
514,The Ref
515,The Remains of the Day
516,Renaissance Man
517,Rising Sun
518,The Road to Wellville
519,Robocop 3
520,Robin Hood: Men in Tights
521,Romeo Is Bleeding
522,Romper Stomper
523,Ruby in Paradise
524,Rudy
525,The Saint of Fort Washington
526,"Savage Nights (Nuits fauves, Les)"
527,Schindler's List
528,The Scout
529,Searching for Bobby Fischer
530,Second Best
531,The Secret Garden
532,Serial Mom
533,The Shadow
534,Shadowlands
535,Short Cuts
536,"Simple Twist of Fate, A"
537,Sirens
538,Six Degrees of Separation
539,Sleepless in Seattle
540,Sliver
541,Blade Runner
542,Son in Law
543,So I Married an Axe Murderer
544,Striking Distance
545,Harlem
546,Super Mario Bros.
547,Surviving the Game
548,Terminal Velocity
549,Thirty-Two Short Films About Glenn Gould
550,Threesome
551,The Nightmare Before Christmas
552,The Three Musketeers
553,Tombstone
554,Trial by Jury
555,True Romance
556,The War Room
557,Mamma Roma
558,The Pagemaster
559,"Paris, France"
560,"The Beans of Egypt, Maine"
561,Killer (Bulletproof Heart)
562,Welcome to the Dollhouse
563,Germinal
564,Chasers
565,Cronos
566,Naked in New York
567,Kika
568,Bhaji on the Beach
569,Little Big League
570,"Slingshot, The (Kådisbellan )"
571,The Wedding Gift
572,Foreign Student
573,"Ciao, Professore! (Io speriamo che me la cavo )"
574,Spanking the Monkey
575,The Little Rascals
576,Fausto
577,Andre
578,The Hour of the Pig
579,"Scorta, La"
580,Princess Caraboo
581,The Celluloid Closet
582,Metisse (Café au Lait)
583,Dear Diary (Caro Diario)
584,I Don't Want to Talk About It (De eso no se habla)
585,The Brady Bunch Movie
586,Home Alone
587,Ghost
588,Aladdin
589,Terminator 2: Judgment Day
590,Dances with Wolves
591,Tough and Deadly
592,Batman
593,The Silence of the Lambs
594,Snow White and the Seven Dwarfs
595,Beauty and the Beast
596,Pinocchio
597,Pretty Woman
598,Window to Paris
599,The Wild Bunch
600,Love and a .45
601,"Wooden Man's Bride, The (Wu Kui)"
602,"Great Day in Harlem, A"
603,"Bye Bye, Love"
605,One Fine Day
606,Candyman: Farewell to the Flesh
607,Century
608,Fargo
609,Homeward Bound II: Lost in San Francisco
610,Heavy Metal
611,Hellraiser: Bloodline
612,The Pallbearer
613,Jane Eyre
614,Loaded
615,Bread and Chocolate (Pane e cioccolata)
616,The Aristocats
617,"Flower of My Secret, The (La Flor de Mi Secreto)"
618,Two Much
619,Ed
621,My Favorite Season
623,"Modern Affair, A"
624,Condition Red
626,"Thin Line Between Love and Hate, A"
627,The Last Supper
628,Primal Fear
630,Carried Away
631,All Dogs Go to Heaven 2
632,Land and Freedom (Tierra y libertad)
633,Denise Calls Up
634,Theodore Rex
635,"Family Thing, A"
637,Sgt. Bilko
638,Jack and Sarah
639,Girl 6
640,Diabolique
641,"Little Indian, Big City (Un indien dans la ville)"
642,Roula
643,Peanuts - Die Bank zahlt alles
644,Happy Weekend
645,Nelly & Monsieur Arnaud
647,Courage Under Fire
648,Mission: Impossible
649,Cold Fever (Á köldum klaka)
650,Moll Flanders
651,"Superweib, Das"
652,"301, 302"
653,Dragonheart
655,Mutters Courage
656,Eddie
657,Yankee Zulu
658,Billy's Holiday
659,Purple Noon
660,August
661,James and the Giant Peach
662,Fear
663,Kids in the Hall: Brain Candy
664,Faithful
665,Underground
666,All Things Fair
667,Bloodsport 2
668,Pather Panchali
669,Aparajito
670,"World of Apu, The (Apur Sansar)"
671,Mystery Science Theater 3000: The Movie
672,Tarantella
673,Space Jam
674,Barbarella
678,Some Folks Call It a Sling Blade
679,The Run of the Country
680,Alphaville
681,Clean Slate (Coup de Torchon)
682,Tigrero: A Film That Was Never Made
684,Windows
685,It's My Party
687,Country Life
688,Operation Dumbo Drop
690,"Promise, The (Versprechen, Das)"
691,Mrs. Winterbourne
692,Solo
694,The Substitute
695,True Crime
696,Butterfly Kiss
697,Feeling Minnesota
698,Delta of Venus
700,Angus
701,Daens
702,Faces
703,Boys
704,The Quest
705,Cosi
706,Sunset Park
707,Mulholland Falls
708,The Truth About Cats & Dogs
709,Oliver & Company
710,Celtic Pride
711,Flipper
712,Captives
714,Dead Man
715,"Horseman on the Roof, The (Hussard sur le toit, Le)"
716,Switchblade Sisters
717,Mouth to Mouth (Boca a boca)
718,"Visitors, The (Les Visiteurs)"
719,Multiplicity
720,Wallace & Gromit: The Best of Aardman Animation
722,The Haunted World of Edward D. Wood Jr.
724,The Craft
725,The Great White Hype
726,Last Dance
728,Cold Comfort Farm
729,"Institute Benjamenta, or This Dream People Call Human Life"
730,The Low Life
731,Heaven's Prisoners
732,Original Gangstas
733,The Rock
734,Getting Away With Murder
735,Cemetery Man (Dellamorte Dellamore)
736,Twister
737,Barb Wire
741,Ghost in the Shell (Kokaku kidotai)
742,Thinner
743,Spy Hard
744,Brothers in Trouble
745,"Close Shave, A"
746,Force of Evil
747,The Stupids
748,The Arrival
749,The Man from Down Under
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
751,Careful
753,"Month by the Lake, A"
754,Gold Diggers: The Secret of Bear Mountain
755,Kim
756,Carmen Miranda: Bananas Is My Business
757,Ashes of Time
758,"Jar, The (Khomreh)"
759,Maya Lin: A Strong Clear Vision
760,Stalingrad
761,The Phantom
762,Striptease
763,"Last of the High Kings, The (a.k.a. Summer Fling)"
764,Heavy
765,Jack
766,I Shot Andy Warhol
767,The Grass Harp
769,Marlene Dietrich: Shadow and Light
771,"Vie est belle, La (Life is Rosey)"
774,Wend Kuuni (God's Gift)
775,Spirits of the Dead (Tre Passi nel Delirio)
776,Babyfever
778,Trainspotting
779,'Til There Was You
780,Independence Day (ID4)
781,Stealing Beauty
782,The Fan
783,The Hunchback of Notre Dame
784,The Cable Guy
785,Kingpin
786,Eraser
787,The Gate of Heavenly Peace
788,The Nutty Professor
789,"I, Worst of All (Yo, la peor de todas)"
790,An Unforgettable Summer
791,"The Last Klezmer: Leopold Kozlowski, His Life and Music"
792,"Hungarian Fairy Tale, A"
793,My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud)
796,"Very Natural Thing, A"
798,Daylight
799,The Frighteners
800,Lone Star
801,Harriet the Spy
802,Phenomenon
803,Walking and Talking
804,She's the One
805,"Time to Kill, A"
806,American Buffalo
807,"Rendezvous in Paris (Rendez-vous de Paris, Les)"
808,Alaska
809,Fled
810,Kazaam
811,"Bewegte Mann, Der"
813,Larger Than Life
814,"Boy Called Hate, A"
815,Power 98
818,"Very Brady Sequel, A"
820,"Death in the Garden (Mort en ce jardin, La)"
821,The Crude Oasis
823,"Collectionneuse, La"
824,Kaspar Hauser
826,Diebinnen
827,"Convent, The (Convento, O)"
828,The Adventures of Pinocchio
829,Joe's Apartment
830,The First Wives Club
831,Stonewall
832,Ransom
833,High School High
834,Phat Beach
835,Foxfire
836,Chain Reaction
837,Matilda
838,Emma
839,The Crow: City of Angels
840,House Arrest
841,Eyes Without a Face
842,Tales from the Crypt Presents: Bordello of Blood
843,Lotto Land
844,The Story of Xinghua
846,Flirt
847,The Big Squeeze
848,The Spitfire Grill
849,Escape from L.A.
850,Cyclo
851,Basquiat
852,Tin Cup
853,Dingo
854,"Ballad of Narayama, The (Narayama Bushiko)"
858,The Godfather
859,The Hippie Revolution
860,"Maybe, Maybe Not (Bewegte Mann, Der)"
861,Supercop
862,Manny & Lo
863,Celestial Clockwork
864,The Wife
865,Small Faces
866,Bound
867,Carpool
868,Death in Brunswick
869,Kansas City
870,Gone Fishin'
872,Aiqing wansui
874,Killer: A Journal of Murder
875,Nothing to Lose
876,Police Story 4: Project S (Chao ji ji hua)
877,Girls Town
878,Bye-Bye
879,The Relic
880,The Island of Dr. Moreau
881,First Kid
882,The Trigger Effect
884,Sweet Nothing
885,Bogus
886,Bulletproof
887,Talk of Angels
888,Land Before Time III: The Time of the Great Giving
889,1-900
891,Halloween: The Curse of Michael Myers
892,Twelfth Night
893,Mother Night
895,Venice/Venice
896,Wild Reeds
897,For Whom the Bell Tolls
898,The Philadelphia Story
899,Singin' in the Rain
900,"American in Paris, An"
901,Funny Face
902,Breakfast at Tiffany's
903,Vertigo
904,Rear Window
905,It Happened One Night
906,Gaslight
907,The Gay Divorcee
908,North by Northwest
909,The Apartment
910,Some Like It Hot
911,Charade
912,Casablanca
913,The Maltese Falcon
914,My Fair Lady
915,Sabrina
916,Roman Holiday
917,The Little Princess
918,Meet Me in St. Louis
919,The Wizard of Oz
920,Gone with the Wind
921,My Favorite Year
922,Sunset Blvd. (a.k.a. Sunset Boulevard)
923,Citizen Kane
924,2001: A Space Odyssey
925,Golden Earrings
926,All About Eve
927,The Women
928,Rebecca
929,Foreign Correspondent
930,Notorious
931,Spellbound
932,"Affair to Remember, An"
933,To Catch a Thief
934,Father of the Bride
935,The Band Wagon
936,Ninotchka
937,Love in the Afternoon
938,Gigi
939,The Reluctant Debutante
940,The Adventures of Robin Hood
941,The Mark of Zorro
942,Laura
943,The Ghost and Mrs. Muir
944,Lost Horizon
945,Top Hat
946,To Be or Not to Be
947,My Man Godfrey
948,Giant
949,East of Eden
950,The Thin Man
951,His Girl Friday
952,Around the World in 80 Days
953,It's a Wonderful Life
954,Mr. Smith Goes to Washington
955,Bringing Up Baby
956,Penny Serenade
957,The Scarlet Letter
958,Lady of Burlesque
959,Of Human Bondage
960,Angel on My Shoulder
961,Little Lord Fauntleroy
962,They Made Me a Criminal
963,The Inspector General
964,Angel and the Badman
965,The 39 Steps
966,"Walk in the Sun, A"
967,The Outlaw
968,Night of the Living Dead
969,The African Queen
970,Beat the Devil
971,Cat on a Hot Tin Roof
972,The Last Time I Saw Paris
973,Meet John Doe
974,Algiers
975,Something to Sing About
976,"Farewell to Arms, A"
977,Moonlight Murder
978,"Blue Angel, The (Blaue Engel, Der)"
980,In the Line of Duty 2
981,Dangerous Ground
982,Picnic
984,The Pompatus of Love
985,Small Wonders
986,Fly Away Home
987,Bliss
988,Grace of My Heart
989,Schlafes Bruder (Brother of Sleep)
990,Maximum Risk
991,Michael Collins
992,The Rich Man's Wife
993,Infinity
994,Big Night
996,Last Man Standing
997,Caught
998,Set It Off
999,2 Days in the Valley
1000,Curdled
1002,Ed's Next Move
1003,Extreme Measures
1004,The Glimmer Man
1005,D3: The Mighty Ducks
1006,The Chamber
1007,The Apple Dumpling Gang
1008,"Davy Crockett, King of the Wild Frontier"
1009,Escape to Witch Mountain
1010,The Love Bug
1011,Herbie Rides Again
1012,Old Yeller
1013,The Parent Trap
1014,Pollyanna
1015,Homeward Bound: The Incredible Journey
1016,The Shaggy Dog
1017,Swiss Family Robinson
1018,That Darn Cat!
1019,"20,000 Leagues Under the Sea"
1020,Cool Runnings
1021,Angels in the Outfield
1022,Cinderella
1023,Winnie the Pooh and the Blustery Day
1024,The Three Caballeros
1025,The Sword in the Stone
1026,So Dear to My Heart
1027,Robin Hood: Prince of Thieves
1028,Mary Poppins
1029,Dumbo
1030,Pete's Dragon
1031,Bedknobs and Broomsticks
1032,Alice in Wonderland
1033,The Fox and the Hound
1034,Freeway
1035,The Sound of Music
1036,Die Hard
